chr2L	129030	129350	2	1
chr2L	46586	47609	2	385
chr2L	73405	73851	2	22
chr2L	54881	55057	2	47
chr2L	56118	56383	4	47
chr2L	52526	52748	4	13
chr2L	73121	73429	2	310
chr2L	59048	59292	2	6
chr2L	54881	55057	6	47
chr2L	56118	56383	9	47
chr2L	59048	59292	9	6
chr2L	66911	67208	7	43
chr2L	72506	72926	2	206
chr2L	73405	73851	4	22
chr2L	102301	102474	2	168
chr2L	107982	108358	2	478
chr2L	131968	132264	2	0
chr2L	5108417	5108741	2	2913
chr2L	250638	250929	2	90
chr2L	107982	108358	2	478
chr2L	91543	91882	2	65
chr2L	102301	102474	2	168
chr2L	107982	108358	4	478
chr2L	129030	129350	2	1
chr2L	91543	91882	2	65
chr2L	96292	96490	2	48
chr2L	102301	102474	2	168
chr2L	107982	108358	2	478
chr2L	158883	159220	2	259
chr2L	285495	285851	2	24
chr2L	6673094	6673472	2	1287
chr2L	131968	132264	3	0
chr2L	91543	91882	3	65
chr2L	107982	108358	4	478
chr2L	160992	161596	2	280
chr2L	95619	95865	2	32
chr2L	96292	96490	2	48
chr2L	129030	129350	2	1
chr2L	107982	108358	3	478
chr2L	129030	129350	2	1
chr2L	1157718	1158312	2	490
chr2L	107982	108358	3	478
chr2L	143268	143488	2	230
chr2L	143268	143488	3	230
chr2L	850835	851202	2	412
chr2L	156030	156216	3	82
chr2L	158883	159220	2	259
chr2L	129030	129350	2	1
chr2L	120335	120855	17	345
chr2L	129030	129350	20	1
chr2L	131968	132264	5	0
chr2L	138821	139232	4	77
chr2L	143268	143488	2	230
chr2L	155564	155761	3	0
chr2L	156030	156216	3	82
chr2L	158883	159220	4	259
chr2L	160992	161596	2	280
chr2L	285495	285851	2	24
chr2L	457635	458452	2	150
chr2L	490716	491090	2	652
chr2L	129030	129350	14	1
chr2L	131968	132264	4	0
chr2L	138821	139232	2	77
chr2L	143268	143488	2	230
chr2L	160992	161596	3	280
chr2L	250638	250929	2	90
chr2L	852743	853060	2	945
chr2L	138821	139232	10	77
chr2L	143268	143488	7	230
chr2L	144582	144939	5	111
chr2L	155564	155761	2	0
chr2L	156030	156216	3	82
chr2L	160992	161596	7	280
chr2L	295938	296290	2	67
chr2L	472039	472352	2	649
chr2L	3712662	3712989	2	773
chr2L	4333785	4334163	2	790
chr2L	143268	143488	5	230
chr2L	144582	144939	3	111
chr2L	156030	156216	2	82
chr2L	158883	159220	2	259
chr2L	160992	161596	3	280
chr2L	155564	155761	5	0
chr2L	158883	159220	3	259
chr2L	160992	161596	5	280
chr2L	155564	155761	3	0
chr2L	160992	161596	6	280
chr2L	173576	173727	4	71
chr2L	184409	184560	4	24
chr2L	195161	195362	2	0
chr2L	198833	199031	3	24
chr2L	213597	214001	2	81
chr2L	278051	278238	2	7
chr2L	1118830	1119149	2	249
chr2L	173576	173727	7	71
