chr2L	8756	9065	chr2L	129030	129350	2	1	120279
chr2L	12422	12604	chr2L	46586	47609	2	1	34584
chr2L	15149	15341	chr2L	73405	73851	2	1	58383
chr2L	33909	34061	chr2L	54881	55057	2	1	20984
chr2L	39362	39753	chr2L	56118	56383	4	1	16693
chr2L	43414	43648	chr2L	52526	52748	4	1	9106
chr2L	43414	43648	chr2L	73121	73429	2	1	29744
chr2L	46012	46219	chr2L	59048	59292	2	1	13054
chr2L	46586	47609	chr2L	54881	55057	6	1	7871
chr2L	46586	47609	chr2L	56118	56383	9	1	9153
chr2L	46586	47609	chr2L	59048	59292	9	1	12072
chr2L	46586	47609	chr2L	66911	67208	7	1	19962
chr2L	46586	47609	chr2L	72506	72926	2	1	25618
chr2L	46586	47609	chr2L	73405	73851	4	1	26530
chr2L	46586	47609	chr2L	102301	102474	2	1	55290
chr2L	46586	47609	chr2L	107982	108358	2	1	61072
chr2L	46586	47609	chr2L	131968	132264	2	1	85018
chr2L	46586	47609	chr2L	5108417	5108741	2	1	5061481
chr2L	52526	52748	chr2L	250638	250929	2	1	198146
chr2L	66911	67208	chr2L	107982	108358	2	1	41110
chr2L	72506	72926	chr2L	91543	91882	2	1	18996
chr2L	72506	72926	chr2L	102301	102474	2	1	29671
chr2L	72506	72926	chr2L	107982	108358	4	1	35454
chr2L	72506	72926	chr2L	129030	129350	2	1	56474
chr2L	73121	73429	chr2L	91543	91882	2	1	18437
chr2L	73121	73429	chr2L	96292	96490	2	1	23116
chr2L	73121	73429	chr2L	102301	102474	2	1	29112
chr2L	73121	73429	chr2L	107982	108358	2	1	34895
chr2L	73121	73429	chr2L	158883	159220	2	1	85776
chr2L	73121	73429	chr2L	285495	285851	2	1	212398
chr2L	73121	73429	chr2L	6673094	6673472	2	1	6600008
chr2L	73405	73851	chr2L	131968	132264	3	1	58488
chr2L	73999	74151	chr2L	91543	91882	3	1	17637
chr2L	73999	74151	chr2L	107982	108358	4	1	34095
chr2L	73999	74151	chr2L	160992	161596	2	1	87219
chr2L	87219	87525	chr2L	95619	95865	2	1	8370
chr2L	87219	87525	chr2L	96292	96490	2	1	9019
chr2L	91543	91882	chr2L	129030	129350	2	1	37477
chr2L	95619	95865	chr2L	107982	108358	3	1	12428
chr2L	95619	95865	chr2L	129030	129350	2	1	33448
chr2L	95619	95865	chr2L	1157718	1158312	2	1	1062273
chr2L	96292	96490	chr2L	107982	108358	3	1	11779
chr2L	96292	96490	chr2L	143268	143488	2	1	46987
chr2L	102301	102474	chr2L	143268	143488	3	1	40990
chr2L	102301	102474	chr2L	850835	851202	2	1	748631
chr2L	103053	103309	chr2L	156030	156216	3	1	52942
chr2L	103053	103309	chr2L	158883	159220	2	1	55870
chr2L	105593	105827	chr2L	129030	129350	2	1	23480
chr2L	107982	108358	chr2L	120335	120855	17	1	12425
chr2L	107982	108358	chr2L	129030	129350	20	1	21020
chr2L	107982	108358	chr2L	131968	132264	5	1	23946
chr2L	107982	108358	chr2L	138821	139232	4	1	30856
