chr1	3327	3328	267	4e-84	5.5e-82
chr1	24965	24969	109	1.82e-08	2.34e-07
chr1	25901	25904	128	1.67e-10	2.3e-09
chr1	29726	29726	136	6.4e-07	7.84e-06
chr1	40260	40265	195	1.94e-42	7.1e-41
chr1	40818	40819	192	2.35e-40	8.07e-39
chr1	50354	50355	191	1.38e-39	4.64e-38
chr1	87145	87146	181	1.48e-35	4.36e-34
chr1	94311	94318	315	2.39e-35	7.01e-34
chr1	94916	94919	349	2.08e-47	9.01e-46
chr1	98087	98089	306	9e-11	1.24e-09
chr1	100666	100667	424	7.57e-59	4.75e-57
chr1	103970	103971	223	6.09e-14	9.29e-13
chr1	122182	122193	378	2.24e-78	2.61e-76
chr1	142651	142651	279	4.27e-60	2.78e-58
chr1	150174	150175	212	1.27e-29	3.09e-28
chr1	161499	161500	372	2.13e-106	5.91e-104
chr1	177539	177540	391	6.14e-87	9.29e-85
chr1	179687	179689	283	9.54e-34	2.67e-32
chr1	208344	208345	226	3.47e-59	2.19e-57
chr1	214148	214149	177	1.13e-33	3.14e-32
chr1	241363	241365	200	5.27e-45	2.1e-43
chr1	261369	261371	123	1.38e-07	1.73e-06
chr1	265508	265509	225	6.68e-44	2.57e-42
chr1	272730	272734	332	2.12e-120	9.15e-118
chr1	288870	288873	152	8.06e-23	1.59e-21
chr1	324843	324843	306	9.38e-91	1.64e-88
chr1	332791	332817	292	1.23e-51	6.13e-50
chr1	339110	339111	239	5.57e-33	1.51e-31
chr1	348811	348885	191	1.99e-40	6.87e-39
chr1	365680	365687	192	1.29e-24	2.68e-23
chr1	372964	372967	373	6.86e-92	1.23e-89
chr1	375633	375634	250	1.77e-29	4.27e-28
chr1	390879	390880	302	1.37e-107	3.94e-105
chr1	408789	408791	146	1.81e-20	3.34e-19
chr1	409983	409984	112	2.88e-09	3.8e-08
chr1	431719	431719	502	3.53e-234	5.3e-230
chr1	449623	449624	137	7.31e-10	9.85e-09
chr1	451964	452046	225	2.7e-46	1.13e-44
chr1	475805	475806	324	1.44e-45	5.91e-44
chr1	480537	480538	284	5.17e-41	1.83e-39
chr1	501769	501770	234	8.14e-64	5.92e-62
chr1	509944	509946	124	8.86e-13	1.3e-11
chr1	531644	531645	122	5.38e-10	7.27e-09
chr1	540618	540620	271	2.31e-69	2.04e-67
chr1	547542	547542	135	3.73e-13	5.58e-12
chr1	549640	549642	132	8.41e-14	1.28e-12
chr1	584106	584106	201	1.59e-45	6.45e-44
chr1	656279	656285	231	4.58e-62	3.15e-60
chr1	672700	672703	114	8.14e-10	1.09e-08
chr1	674665	674673	135	1.97e-16	3.22e-15
chr1	758370	758379	134	4.39e-16	7.1e-15
chr1	766043	766044	116	2.22e-10	3.02e-09
chr1	777880	777886	209	9.31e-50	4.32e-48
chr1	785842	785843	106	1.04e-07	1.3e-06
chr1	801688	801691	171	6.4e-31	1.62e-29
chr1	814408	814426	199	1.73e-44	6.81e-43
chr1	852049	852522	138	1.44e-16	2.37e-15
chr1	853941	853942	160	4.1e-26	8.91e-25
chr1	876183	876183	340	2.38e-76	2.62e-74
chr1	897567	897567	159	1.03e-21	1.98e-20
chr1	898268	898271	163	8.17e-23	1.61e-21
chr1	907355	907356	119	2.97e-11	4.17e-10
chr1	977407	977410	281	6.96e-78	8.05e-76
chr1	980823	980834	184	3.09e-15	4.9e-14
